REGIAO:;S
UF:;RS
ESTACAO:;PORTO ALEGRE - JARDIM BOTANICO
CODIGO (WMO):;A801
LATITUDE:;-30,05361111
LONGITUDE:;-51,17472221
ALTITUDE:;41,18
DATA DE FUNDACAO:;22/09/00
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;1010,6;1010,6;1010,2;;19,6;14,4;20,5;19,6;14,4;13,8;72;65;72;123;6,5;1,5;
2024/01/01;0100 UTC;0;1011,2;1011,2;1010,6;;19;14,4;19,6;19;14,4;14;75;70;75;137;5,3;2,1;
2024/01/01;0200 UTC;0;1011,1;1011,3;1011,1;;18,6;14,6;19;18,6;14,7;14,4;78;75;78;121;4,6;1,9;
2024/01/01;0300 UTC;0;1010,5;1011,1;1010,4;;18,8;14,9;18,9;18,6;14,9;14,6;79;77;78;119;5;1,6;
2024/01/01;0400 UTC;0;1010,2;1010,5;1010,1;;18,9;14,9;19,2;18,8;15;14,7;78;75;77;114;5,2;1,5;
2024/01/01;0500 UTC;0;1009,7;1010,2;1009,7;;18,5;15,1;19;18,5;15,1;14,9;81;77;81;109;5;1,2;
2024/01/01;0600 UTC;0;1008,9;1009,7;1008,8;;18,4;15,4;18,6;18,3;15,4;15,1;83;81;83;115;4,5;1,5;
2024/01/01;0700 UTC;0;1008,7;1008,9;1008,5;;18,1;15,6;18,5;18,1;15,6;15,4;85;83;85;116;4,3;1,5;
2024/01/01;0800 UTC;0;1008,8;1008,8;1008,6;;18,2;15,8;18,3;18,1;15,8;15,7;86;85;86;118;4,1;,9;
2024/01/01;0900 UTC;0;1009,1;1009,1;1008,8;26,5;18,5;16;18,6;18,2;16,1;15,8;86;85;85;110;2,8;1,2;
2024/01/01;1000 UTC;0;1009,1;1009,2;1009;417,7;21,3;17,1;21,3;18,5;17,1;16;86;76;77;100;2,9;1,2;
2024/01/01;1100 UTC;0;1009,3;1009,3;1009;1334,4;23,4;17,2;24;21,3;18,6;16,7;77;67;68;85;3,8;1,3;
2024/01/01;1200 UTC;0;1009,6;1009,7;1009,3;1829,9;25;17,5;25,4;23,4;18,9;16,5;70;63;63;108;4,2;,9;
2024/01/01;1300 UTC;0;1008,8;1009,6;1008,8;2793,6;26,5;17,8;26,7;24,9;19,2;17,3;68;57;59;144;4;1,6;
2024/01/01;1400 UTC;0;1008,5;1008,8;1008,4;3299,4;27,8;17,9;29;26,4;20,5;17,3;62;52;55;22;3,9;1,2;
2024/01/01;1500 UTC;0;1007,7;1008,5;1007,7;;29,4;18,4;29,6;27,6;20,2;17,2;60;50;52;26;3,3;,9;
2024/01/01;1600 UTC;0;1006,8;1007,7;1006,8;2904,1;30;18;30,2;28,2;20,4;17,8;61;49;49;140;4;1,4;
2024/01/01;1700 UTC;0;1006,1;1006,8;1006,1;3409,6;29,6;19,1;30,8;29,5;20,4;17,9;57;48;53;114;6;1,8;
2024/01/01;1800 UTC;0;1005,6;1006,1;1005,6;2565,1;28,9;19,5;31,1;28,8;20,6;18,6;58;49;57;103;5,5;2,3;
2024/01/01;1900 UTC;0;1005,3;1005,6;1005,3;2261,9;29,3;20,1;29,9;28,3;20,8;18,9;60;53;58;119;7,4;2,5;
2024/01/01;2000 UTC;0;1005,5;1005,5;1005,1;1582,9;27,7;19,5;29,3;27,4;20,6;19;62;56;61;119;8,8;3,1;
2024/01/01;2100 UTC;0;1005,1;1005,5;1005,1;871,8;25,9;19,5;27,7;25,9;19,6;19,1;68;61;68;117;9,3;3,1;
2024/01/01;2200 UTC;0;1005,2;1005,2;1004,7;235,2;24,6;19,7;26;24,6;19,8;19,4;75;68;74;105;9,4;1,9;
2024/01/01;2300 UTC;0;1005,9;1006;1005,2;24,7;23,5;19,6;24,6;23,5;19,8;19,6;79;74;78;112;6,7;2,2;
2024/01/02;0000 UTC;0;1006,2;1006,3;1005,8;;22,9;19,8;23,6;22,9;19,8;19,5;83;78;83;113;7,2;2;
2024/01/02;0100 UTC;0;1006,4;1006,5;1006;;22,5;19,7;22,9;22,5;19,8;19,7;84;83;84;111;7,2;2,3;
2024/01/02;0200 UTC;0;1006,7;1006,8;1006,3;;22,4;19,7;22,5;22,3;19,8;19,6;85;84;85;121;7;2,5;
2024/01/02;0300 UTC;0;1006,3;1006,7;1006,3;;22,4;20,2;22,4;22,3;20,2;19,7;88;85;87;98;6,1;1,9;
2024/01/02;0400 UTC;0;1005,7;1006,3;1005,7;;22,5;20,3;22,7;22,4;20,3;20,2;87;86;87;99;5,8;1,2;
2024/01/02;0500 UTC;0;1005,1;1005,7;1005,1;;22,7;20;22,9;22,5;20,3;19,9;87;84;85;121;3,9;,9;
